GISJOIN,STATE,STATEA,COUNTY,COUNTYA,TRACTA,pop_total_2010,housing_occupied_2010,housing_vacant_2010,housing_owner_occ_2010,housing_renter_occ_2010,age_under5_2010,age_5to9_2010,age_10to14_2010,age_15to17_2010,age_18to19_2010,age_20_2010,age_21_2010,age_22to24_2010,age_25to29_2010,age_30to34_2010,age_35to39_2010,age_40to44_2010,age_45to49_2010,age_50to54_2010,age_55to59_2010,age_60to61_2010,age_62to64_2010,age_65to69_2010,age_70to74_2010,age_75to79_2010,age_80to84_2010,age_85plus_2010,race_nhwhite_2010,race_nhblack_2010,race_nhaian_2010,race_nhapi_2010,race_nhother_2010,race_nhtwo_2010,race_hispwhite_2010,race_hispblack_2010,race_hispaian_2010,race_hispapi_2010,race_hispother_2010,race_hisptwo_2010,pop_total_2020,land_area_sqkm,density_perkm2,settlement_type
G0100010020100,Alabama,01,Autauga County,001,020100,1912,693,59,536,157,118,125,138,126,61,28,27,79,81,108,123,149,157,140,112,48,71,75,61,46,25,14,1601,217,13,14,1,22,21,0,1,0,13,9,1775.0,9.809944,194.90427264416596,suburban
G0100010020200,Alabama,01,Autauga County,001,020200,2170,743,79,469,274,127,160,183,136,57,29,28,74,159,171,177,133,154,154,123,38,53,88,52,38,18,18,844,1214,5,5,3,24,44,3,0,0,24,4,2055.0,3.340505,649.6023804784007,suburban
G0100010020300,Alabama,01,Autauga County,001,020300,3373,1256,70,949,307,243,240,253,158,87,43,41,135,264,203,218,217,237,228,204,67,96,141,106,90,70,32,2538,647,9,22,7,63,38,0,2,0,28,19,3216.0,5.349274,630.5528563315321,suburban
G0100010020400,Alabama,01,Autauga County,001,020400,4386,1722,101,1357,365,234,279,272,230,128,44,36,126,220,236,277,279,339,296,250,81,155,224,275,221,111,73,4030,191,11,21,1,47,56,2,0,1,21,5,4246.0,6.382705,687.1694681173578,suburban
G0100010020500,Alabama,01,Autauga County,001,020500,10766,4082,226,2459,1623,729,937,977,519,281,121,97,338,642,739,963,874,866,672,435,204,246,343,297,203,143,140,8438,1418,44,301,12,198,228,19,4,4,78,22,11222.0,11.397725,944.5744655183381,suburban
G0100010020600,Alabama,01,Autauga County,001,020600,3668,1311,141,1014,297,271,266,290,181,117,46,48,132,217,232,267,248,296,250,211,73,112,144,106,75,41,45,2672,738,10,6,2,64,79,2,0,4,81,10,3729.0,8.020366,457.33573754614196,suburban
G0100010020700,Alabama,01,Autauga County,001,020700,2891,1188,113,774,414,192,185,183,126,93,39,32,144,208,177,202,200,222,211,158,63,96,126,86,83,39,26,2294,434,7,14,2,42,39,1,4,2,41,11,3409.0,22.408265,129.01489695877837,suburban
G0100010020801,Alabama,01,Autauga County,001,020801,3081,1074,95,886,188,183,230,235,167,87,36,42,95,123,124,251,263,296,227,216,52,113,144,77,60,35,25,2660,278,25,16,0,45,30,0,2,0,22,3,3143.0,124.28211,24.790374093262496,rural
G0100010020802,Alabama,01,Autauga County,001,020802,10435,3694,309,3139,555,727,768,876,538,287,120,92,310,577,645,837,873,838,766,565,231,325,444,292,176,85,63,8649,1380,47,67,7,126,95,7,2,1,40,14,13821.0,190.810921,54.68764547287102,rural
G0100010020900,Alabama,01,Autauga County,001,020900,5675,2067,253,1703,364,374,411,440,286,157,81,65,179,322,341,446,413,451,434,363,100,182,239,168,108,68,47,4786,677,14,19,6,77,49,2,0,4,37,4,6359.0,292.756814,19.384689710416097,rural
G0100010021000,Alabama,01,Autauga County,001,021000,2894,1085,176,906,179,176,185,237,152,84,39,32,98,140,176,201,218,196,228,202,71,112,125,96,56,39,31,2208,601,18,3,1,24,15,2,0,0,18,4,2642.16,386.855,7.48083907407168,rural
G0100010021100,Alabama,01,Autauga County,001,021100,3320,1306,292,1056,250,205,205,206,134,98,39,46,119,204,178,195,219,280,267,244,73,115,184,120,95,57,37,1434,1800,14,1,3,29,7,10,0,1,18,3,3187.84,478.168649,6.943156994803313,rural
G0100030010100,Alabama,01,Baldwin County,003,010100,3804,1510,474,1282,228,219,253,259,186,107,45,31,113,188,182,246,230,283,291,285,116,165,222,160,100,76,47,2857,822,64,6,0,39,8,4,0,0,2,2,3745.0,971.53482,3.9154541059063637,rural
G0100030010200,Alabama,01,Baldwin County,003,010200,2902,1111,158,882,229,203,224,192,136,72,45,34,87,156,191,186,190,219,207,199,79,104,130,104,66,42,36,2451,271,72,11,3,48,18,10,1,0,14,3,3008.0,221.742771,13.087236111070336,rural
G0100030010300,Alabama,01,Baldwin County,003,010300,7826,2727,373,2220,507,396,498,565,361,466,171,72,219,326,406,511,531,611,585,508,194,295,393,257,208,131,122,6038,1428,69,35,8,120,53,9,6,0,47,13,8379.95,343.726178,22.76812329376903,rural
G0100030010400,Alabama,01,Baldwin County,003,010400,4736,1740,219,1490,250,328,313,320,221,143,59,37,145,251,269,311,365,376,342,339,142,165,250,155,104,58,43,4305,250,34,11,0,65,34,2,1,0,18,16,5722.0,737.211609,6.424207028459858,rural
G0100030010500,Alabama,01,Baldwin County,003,010500,4815,1798,179,1219,579,256,282,302,169,136,70,56,201,292,331,313,324,348,332,301,114,159,249,191,146,123,120,3885,662,60,61,4,67,37,7,0,0,23,9,4842.0,17.478888,275.47519041257084,suburban
G0100030010600,Alabama,01,Baldwin County,003,010600,3325,1186,189,701,485,292,238,322,176,106,38,39,130,234,213,199,183,253,247,189,70,91,105,81,68,25,26,1288,1848,30,3,3,61,35,3,0,0,47,7,3234.0,18.566265,179.0882549613506,suburban
G0100030010701,Alabama,01,Baldwin County,003,010701,7882,3054,243,2474,580,383,580,649,377,156,62,49,129,248,310,529,599,693,701,557,208,305,390,289,214,202,252,7292,221,31,112,9,57,134,1,1,1,15,8,9032.0,108.697996,72.51283639120632,rural
G0100030010703,Alabama,01,Baldwin County,003,010703,13166,4878,644,3707,1171,1039,1123,1024,543,263,108,89,375,746,926,1120,1139,1031,912,776,283,390,559,312,207,126,75,11361,1070,47,205,6,134,221,1,0,3,80,38,23139.74,144.243991,91.27589931978518,rural
G0100030010704,Alabama,01,Baldwin County,003,010704,5055,1967,199,1570,397,296,324,342,212,127,47,44,144,317,327,368,332,432,415,356,131,180,231,144,143,84,59,4421,327,22,58,5,67,110,4,0,0,30,11,5307.0,8.40093,601.719095385868,suburban
G0100030010705,Alabama,01,Baldwin County,003,010705,8331,3689,590,2168,1521,501,507,544,334,174,98,106,327,640,626,597,560,627,593,531,182,286,323,259,209,146,161,6680,1024,49,163,28,107,187,4,1,3,76,9,10481.31,17.459174,477.1703403608899,suburban
G0100030010800,Alabama,01,Baldwin County,003,010800,6861,2770,358,1997,773,318,403,465,294,141,63,59,209,334,333,357,386,563,548,554,214,304,454,307,227,156,172,4981,1631,11,68,3,58,69,8,5,0,27,0,7807.0,18.080854,379.4621647849156,suburban
G0100030010903,Alabama,01,Baldwin County,003,010903,5173,1799,206,1310,489,346,310,285,175,140,70,50,205,434,402,383,377,444,367,336,133,153,217,175,68,50,53,3952,945,36,17,2,62,48,5,1,1,86,18,6599.0,55.584925,93.06480129279656,rural
G0100030010904,Alabama,01,Baldwin County,003,010904,6831,2564,294,2132,432,402,436,478,300,176,66,56,206,396,380,432,491,563,613,453,170,259,364,268,159,105,58,6268,137,98,27,1,113,93,4,2,0,77,11,7747.0,276.118381,24.73938886379317,rural
G0100030010905,Alabama,01,Baldwin County,003,010905,8011,3000,322,2044,956,647,629,612,336,195,86,83,314,602,563,573,579,524,489,454,154,233,299,217,193,128,101,6681,409,43,37,21,102,215,17,7,0,446,33,10060.0,71.109705,112.65691511446995,suburban
G0100030010906,Alabama,01,Baldwin County,003,010906,4302,1597,164,1160,437,319,288,314,154,84,41,54,158,272,322,277,261,289,272,295,90,134,189,175,112,107,95,3797,188,23,18,15,40,117,5,3,0,84,12,4754.0,39.371386,109.26717184911905,suburban
G0100030011000,Alabama,01,Baldwin County,003,011000,4305,1664,265,1295,369,273,308,295,164,111,47,39,110,252,274,235,318,315,328,290,104,169,231,193,127,84,38,3541,279,44,9,6,70,115,0,3,0,211,27,5459.0,130.443816,33.002714364014004,rural
G0100030011101,Alabama,01,Baldwin County,003,011101,8397,3423,303,2683,740,561,620,623,327,154,58,57,183,319,496,598,556,556,571,509,188,332,469,403,317,253,247,7494,440,18,64,1,54,161,1,1,2,149,12,11391.96,33.520976,250.4998661136836,suburban
G0100030011102,Alabama,01,Baldwin County,003,011102,3715,1389,181,1159,230,206,282,329,181,84,29,38,82,137,225,262,296,293,276,244,84,166,171,135,81,70,44,3329,156,16,18,1,41,76,0,3,0,70,5,5690.04,45.370669,81.88109370836035,rural
G0100030011201,Alabama,01,Baldwin County,003,011201,4230,1984,301,1251,733,184,229,270,176,68,31,35,108,182,149,202,238,279,323,317,137,191,302,235,187,172,215,3964,109,1,29,0,32,77,2,1,2,12,1,4895.0,12.365593,342.0782165481267,suburban
G0100030011202,Alabama,01,Baldwin County,003,011202,5065,2282,566,1533,749,251,294,289,189,95,38,34,150,241,235,269,278,357,451,416,152,248,368,230,200,139,141,3758,1142,9,22,0,35,57,4,0,0,34,4,6773.0,13.596906,372.5112168900778,suburban
G0100030011300,Alabama,01,Baldwin County,003,011300,4487,1842,589,1556,286,218,279,283,178,94,25,33,94,161,210,265,276,362,369,360,153,214,332,269,143,95,74,4121,182,11,8,9,46,72,0,0,0,27,11,5170.0,65.665175,68.33150143892863,rural
G0100030011401,Alabama,01,Baldwin County,003,011401,10632,4159,929,3287,872,752,686,636,401,247,128,132,349,626,643,656,682,754,795,751,282,375,630,437,333,199,138,8603,953,72,47,27,155,392,3,10,0,315,55,13398.0,164.752622,64.53311559436061,rural
G0100030011403,Alabama,01,Baldwin County,003,011403,9131,4030,1696,2034,1996,589,479,451,279,218,120,126,472,770,599,608,540,587,583,602,240,381,563,364,277,182,101,7731,191,44,63,31,111,512,6,2,3,402,35,13689.0,85.257093,107.09959346139095,suburban
G0100030011405,Alabama,01,Baldwin County,003,011405,3832,1795,6175,1457,338,123,147,194,139,42,24,9,51,133,156,163,229,302,365,378,145,293,400,252,144,87,56,3683,5,23,28,1,43,34,0,2,0,10,3,5480.0,15.492015,247.35323326242585,suburban
G0100030011406,Alabama,01,Baldwin County,003,011406,3412,1484,5322,735,749,223,178,208,134,76,51,49,176,262,244,257,277,272,218,215,81,99,139,117,48,54,34,3038,22,23,48,6,80,102,3,0,0,81,9,4298.0,34.137982,99.94732553318471,rural
G0100030011407,Alabama,01,Baldwin County,003,011407,4799,2161,4899,1408,753,202,213,276,166,101,51,44,112,225,221,269,299,353,398,401,178,250,374,268,191,115,92,4496,54,26,36,17,113,29,2,0,1,21,4,6116.0,33.697337,142.41481455938197,suburban
G0100030011408,Alabama,01,Baldwin County,003,011408,433,216,2281,188,28,7,9,16,12,6,6,1,2,4,8,18,23,30,43,46,23,47,53,44,15,13,7,415,1,7,0,0,7,3,0,0,0,0,0,752.0,27.378741,15.815190333258931,rural
G0100030011501,Alabama,01,Baldwin County,003,011501,5316,2219,300,1546,673,327,273,259,174,119,55,49,185,312,260,264,296,368,377,343,122,212,314,311,283,219,194,4405,355,37,40,7,65,154,10,1,2,236,4,7216.0,38.601033,137.7165217314262,suburban
G0100030011502,Alabama,01,Baldwin County,003,011502,10534,4330,871,2567,1763,828,673,543,368,283,130,138,467,771,708,563,541,632,644,674,250,439,585,516,382,248,151,7206,1672,56,121,23,142,612,21,18,0,619,44,13913.0,51.915141,202.90804950332313,suburban
G0100030011601,Alabama,01,Baldwin County,003,011601,6062,2410,751,1885,525,332,374,417,251,136,67,72,162,293,342,366,398,451,472,441,177,262,376,276,166,146,85,5594,58,43,36,3,95,105,0,1,0,115,12,7517.0,234.525046,25.8479855494837,rural
G0100030011602,Alabama,01,Baldwin County,003,011602,4895,2402,840,2131,271,137,147,164,102,65,29,31,80,123,158,161,201,264,363,403,204,311,492,485,480,299,196,4565,114,27,18,5,68,73,3,0,0,12,10,6151.0,81.473593,60.08081661502274,rural
G0100030990000,Alabama,01,Baldwin County,003,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,
G0100050950100,Alabama,01,Barbour County,005,950100,3321,1348,279,1029,319,204,199,212,158,86,38,49,95,163,152,203,205,275,273,255,105,160,180,138,80,54,37,1534,1595,7,13,1,27,20,3,48,0,64,9,3126.0,485.263821,6.843699975729285,rural
G0100050950200,Alabama,01,Barbour County,005,950200,4264,1053,241,733,320,160,177,211,110,77,52,61,250,508,444,385,323,370,256,259,96,117,143,102,61,63,39,1457,2752,4,5,2,12,14,11,3,0,1,3,3363.0,517.006036,8.247485915232138,rural
G0100050950300,Alabama,01,Barbour County,005,950300,1638,673,159,544,129,98,87,88,69,46,20,15,41,96,78,94,90,91,129,118,67,90,87,73,62,61,38,691,862,4,0,0,14,27,2,0,0,37,1,1370.0,352.811329,4.642708057710925,rural
